代碼,學校名稱,公/私立,縣市名稱,鄉鎮市區名稱,地址,電話
011K1X,新北市私立加州森林國際幼兒園,私立,[01]新北市,三重區,[241]新北市三重區富貴里32鄰三信路100號1樓、2樓、3樓,(02)28579000
011K1Y,新北市私立樂樂童年幼兒園,私立,[01]新北市,淡水區,[251]新北市淡水區北投里2鄰新市一路3段101巷1號1、2、3樓,(02)26262958
011K1Z,新北市中園非營利幼兒園(委託財團法人成長文教基金會辦理),私立,[01]新北市,三峽區,[237]新北市三峽區中埔里9鄰弘園街22號,(02)86720070
011K20,新北市柏翠非營利幼兒園(委託財團法人心路社會福利基金會辦理),私立,[01]新北市,板橋區,[220]新北市板橋區柏翠里14鄰華江一路150號,(02)22565058
011K21,新北市私立康大創藝幼兒園,私立,[01]新北市,汐止區,[221]新北市汐止區湖蓮里1鄰湖前街110巷97弄1、2號,(02)26908448
011K22,新北市文創非營利幼兒園(委託財團法人三之三生命教育基金會辦理),私立,[01]新北市,林口區,[244]新北市林口區湖南里46鄰文化一路一段201號、201-1號、201-2號、201-3號,(02)26013380
011K23,新北市文仁非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理),私立,[01]新北市,林口區,[244]新北市林口區湖南里46鄰民治路3號、3之1號、3之2號、3之3號、3之5號,(02)26010137
011K24,新北市私立禾米國際幼兒園,私立,[01]新北市,新店區,[231]新北市新店區信義里31鄰復興路10-2號1樓,(02)29161730
011K25,新北市私立心語仁愛幼兒園,私立,[01]新北市,林口區,[244]新北市林口區湖南里19鄰仁愛路二段596號1、2樓,(02)26025199#10
011K26,新北市私立佳呈幼兒園,私立,[01]新北市,林口區,[244]新北市林口區湖南里28鄰文化三路2段257號1、2、3樓,(02)26030188
011K27,新北市私立心辰幼兒園,私立,[01]新北市,林口區,[244]新北市林口區菁湖里3鄰竹林路326巷12號1、2樓,(02)26014153
011K28,新北市私立慈德幼兒園,私立,[01]新北市,中和區,[235]新北市中和區中原里12鄰立德街30號1、2、3樓,(02)22227098
011K29,新北市私立童妍幼兒園,私立,[01]新北市,三峽區,[237]新北市三峽區龍恩里23鄰大學路151號1樓,(02)86710636
011K2A,新北市私立精英國際幼兒園,私立,[01]新北市,鶯歌區,[239]新北市鶯歌區建國里1鄰中山路249巷30號1樓、32號1樓、36號1至2樓及36號露臺,(02)26793299
011K2B,新北市私立布查花園幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區福安里22鄰樂群路38、40號1樓及夾層,(02)29688911
011K2C,翰科教育股份有限公司附設新北市私立林口夏恩國際幼兒園,私立,[01]新北市,林口區,[244]新北市林口區西林里33鄰東湖路25巷 9號1、2、3樓、11號3樓,(02)77519188
011K2D,新北市私立宏仁蒙特梭利幼兒園,私立,[01]新北市,中和區,[235]新北市中和區秀峰里11鄰景德街13號1樓,(02)29409966
011K2E,新北市菁湖非營利幼兒園(委託財團法人三之三生命教育基金會辦理),私立,[01]新北市,林口區,[244]新北市林口區菁湖里4鄰林口路70號,(02)26013695
011K2F,新北市私立心萬美幼兒園,私立,[01]新北市,林口區,[244]新北市林口區中湖里13鄰文化一路二段169號,(02)26028185
011K2G,財團法人享翔葉克膜教育基金會附設新北市私立翔耀幼兒園,私立,[01]新北市,三峽區,[237]新北市三峽區龍學里36鄰大德路302號1樓,(02)26730873
011K2H,新北市私立夢不落幼兒園,私立,[01]新北市,泰山區,[243]新北市泰山區義仁里36鄰信華三街61號,(02)22972318
011K2I,新北市私立宇和幼兒園,私立,[01]新北市,三重區,[241]新北市三重區碧華里7鄰集仁街81號1、2、3樓,(02)2857-8081
011K2J,新北市碧城非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),私立,[01]新北市,三重區,[241]新北市三重區富貴里32鄰三信路166號1、2、3樓,(02)82877575
011K2K,新北市育平非營利幼兒園（委託財團法人彭婉如文教基金會辦理）,私立,[01]新北市,永和區,[234]新北市永和區保安里27鄰保生路25號1、2樓,(02)29267153
011K2L,新北市佳林非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理),私立,[01]新北市,林口區,[244]新北市林口區中湖里1鄰中山路268號,(02)26010233
011K2M,新北市私立愛迪爾國際幼兒園,私立,[01]新北市,土城區,[236]新北市土城區柑林里17鄰青福街235號,(02)22640606
011K2N,新北市新店及人非營利幼兒園(財團法人新北市私立及人高級中學申請辦理),私立,[01]新北市,新店區,[231]新北市新店區柴埕里30鄰安興路1號,(02)22125795
011K2O,新北市私立萊恩思幼兒園,私立,[01]新北市,林口區,[244]新北市林口區仁愛里7鄰文化二路一段260巷7號之4(1、2樓),(02)26085525
011K2P,新北市私立禾森幼兒園,私立,[01]新北市,林口區,[244]新北市林口區南勢里20鄰文化北路一段48號、46-5號,(02)26005760
011K2Q,新北市私立夏哲森幼兒園,私立,[01]新北市,林口區,[244]新北市林口區南勢里40鄰忠孝路95號,(02)26068936
011K2R,新北市私立慈祐幼兒園,私立,[01]新北市,中和區,[235]新北市中和區平河里4鄰建三路12號,(02)22227028
011K2S,新北市私立嘉聲幼兒園,私立,[01]新北市,林口區,[244]新北市林口區南勢里16鄰三民路111號,(02)26002123
011K2T,新北市私立育勝幼兒園,私立,[01]新北市,新莊區,[242]新北市新莊區昌平里1鄰富貴路90號1、2、3樓及96號1樓,(02)22185996
011X02,財團法人新北市大觀書社附設新北市私立大觀幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區黃石里3鄰西門街5號,(02)29685028
011X05,新北市私立光星幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區新民里8鄰文化路一段188巷26號,(02)22570779
011X07,新北市私立育樂幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區民權里7鄰民權路260巷1弄14、16號1樓,(02)29653936
011X09,新北市私立彬彬幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區湳興里5鄰館前西路160巷2之1號1樓及2樓,(02)29684216
011X10,新北市私立皇佳幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區幸福里16鄰英士路153號1樓及2樓,(02)66373339
011X11,新北市私立和平幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區建國里21鄰民權路202巷17弄70號,(02)29671237
011X12,新北市私立天藍幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區華中里12鄰僑中一街124巷3弄16號1樓,(02)29692577
011X15,新北市私立大安幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區大安里12鄰大觀路二段59巷29號1樓,(02)22752451
011X16,新北市私立力品幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區新興里6鄰館前西路興義巷3號1樓及5號1樓,(02)29678386
011X18,新北市私立田園幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區廣福里4鄰信義路279巷19-2號、19-3號,(02)29542929
011X19,新北市私立板橋天翔幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區香雅里11鄰南雅西路二段253之1號1樓及2樓,(02)29664630
011X21,新北市私立板橋大華幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區港嘴里16鄰三民路一段1巷24號、26號及32號,(02)29589140
011X22,新北市私立台大幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區華中里5鄰僑中一街80巷7弄1號1樓、1之1號2樓,(02)29691212
011X28,新北市私立中仁幼兒園,私立,[01]新北市,中和區,[235]新北市中和區明穗里12鄰民享街92巷19.21.23號1樓,(02)22221088
011X35,新北市私立白兔幼兒園,私立,[01]新北市,中和區,[235]新北市中和區佳和里19鄰中山路二段2巷77，79號,(02)22439923
011X38,新北市私立永愛幼兒園,私立,[01]新北市,中和區,[235]新北市中和區秀義里13鄰秀朗路三段128巷12弄7號,(02)29423775
011X39,財團法人天主教會臺北教區附設新北市私立玫瑰幼兒園,私立,[01]新北市,中和區,[235]新北市中和區景福里9鄰景平路329巷1弄5號,(02)89418738
011X42,新北市私立德明幼兒園,私立,[01]新北市,中和區,[235]新北市中和區福真里27鄰中山路二段312巷3弄7號1樓、1弄8號1樓,(02)22423770
011X44,新北市私立中和松柏幼兒園,私立,[01]新北市,中和區,[235]新北市中和區國光里14鄰國光街112巷38號、40號、42號,(02)29522578
011X53,新北市私立奧爾仕幼兒園,私立,[01]新北市,永和區,[234]新北市永和區水源里20鄰保平路203巷2號1樓至2樓,(02)22314384
011X54,新北市私立景平幼兒園,私立,[01]新北市,中和區,[235]新北市中和區景福里14鄰和平街54巷1弄4.6號,(02)29431030
011X56,新北市私立華人幼兒園,私立,[01]新北市,中和區,[235]新北市中和區秀水里11鄰大仁街10巷52號,(02)29416158
011X61,新北市私立偉恩幼兒園,私立,[01]新北市,中和區,[235]新北市中和區明德里21鄰華順街103巷1號,(02)29551153
011X62,新北市私立聖母幼兒園,私立,[01]新北市,三峽區,[237]新北市三峽區中埔里3鄰中園街71-1號,(02)86713100
011X69,新北市私立永達幼兒園,私立,[01]新北市,永和區,[234]新北市永和區永福里3鄰永貞路39巷9弄7號、9號,(02)29228387
011X72,新北市私立新佳美幼兒園,私立,[01]新北市,永和區,[234]新北市永和區得和里18鄰中正路412巷4弄8、10、12、14號,(02)29218644
011X74,財團法人新北市私立竹林國民小學附設幼兒園,私立,[01]新北市,永和區,[234]新北市永和區勵行里16鄰竹林路34號,(02)29252401
011X75,財團法人新北市私立及人國民小學附設新北市私立幼兒園,私立,[01]新北市,永和區,[234]新北市永和區新?里6鄰文化路172號,(02)29213804
011X77,新北市私立三暉幼兒園,私立,[01]新北市,永和區,[234]新北市永和區秀和里9鄰永亨路115巷2號、4號1樓,(02)29220778
011X79,新北市私立七賢幼兒園,私立,[01]新北市,永和區,[234]新北市永和區竹林里1鄰竹林路119巷10弄6號,(02)89277171
011X80,新北市私立微笑太陽幼兒園,私立,[01]新北市,永和區,[234]新北市永和區雙和里13鄰中和路305巷10弄1.3號,(02)29216210
011X82,新北市私立秀明幼兒園,私立,[01]新北市,永和區,[234]新北市永和區民權里2鄰民權路1巷24號、26號,(02)29435335
011X84,新北市私立嘉樂幼兒園,私立,[01]新北市,永和區,[234]新北市永和區安和里10鄰中和路501巷17號,(02)29255484
011X86,新北市私立三愛幼兒園,私立,[01]新北市,新店區,[231]新北市新店區安和里5鄰安民街269巷14、16號,(02)22113062
011X88,新北市私立三民幼兒園,私立,[01]新北市,新店區,[231]新北市新店區寶安里34鄰民權路11巷3號,(02)29151151
011X91,新北市私立佳恩幼兒園,私立,[01]新北市,新店區,[231]新北市新店區張北里21鄰德正街27巷29弄8號,(02)29114466
011X92,財團法人天主教新北市私立育新幼兒園,私立,[01]新北市,新店區,[231]新北市新店區中正里16鄰三民路19號,(02)29158300#101
011X9A,新北市私立愛唯兒幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區龍翠里3鄰大同街50巷18號1、2、3樓,(02)82512888
011X9C,財團法人台北基督教女青年會附設新北市私立員工實驗幼兒園（新北市政府委託辦理）,私立,[01]新北市,板橋區,[220]新北市板橋區福丘里13鄰中山路一段161號2樓西側,(02)29603456#5207
011X9D,新北市私立凱思莉幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區文聖里8鄰文聖街137號1樓、夾層、b1,(02)82521364
011X9L,新北市私立大恩幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區介壽里3鄰介壽街23號及25號1樓,(02)22585685
011X9O,新北市私立三元幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區聯翠里1鄰民生路三段10號3樓,(02)82533120
011X9P,新北市私立新雙成幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區永安里10鄰萬板路190號1樓及1樓之1,(02)22575107
011X9S,新北市私立圓心坊幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區文聖里16鄰大同街57號1樓,(02)82523737
011X9U,新北市私立蘇格拉底幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區埤墘里2鄰莒光路211號2、3樓,(02)82585511
011X9W,新北市私立科見板橋幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區福丘里7鄰中山路一段69號2樓及3樓,(02)89517548
011X9X,新北市私立古典幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區柏翠里16鄰雙十路三段12號2樓,(02)82570020
011X9Y,新北市私立緹家寶幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區新海里2鄰新海路416號1、2、3樓,(02)22512872
011X9Z,新北市私立心耶魯幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區文聖里15鄰文聖街149巷6號1樓,(02)22520462
011XA0,新北市私立皇家貴族幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區堂春里19鄰金門街215巷10號、14號,(02)86871357
011XA1,新北市私立卡爾威特幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區長安里14鄰板新路101號2樓,(02)89518905
011XA2,新北市私立優兒幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區後埔里7鄰成都街103號1樓,(02)29627559
011XA4,新北市私立禾稼幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區溪洲里2鄰溪崑二街98號,(02)26819226
011XA6,新北市私立心世紀幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區忠翠里24鄰雙十路二段213號3樓,(02)82512771
011XA7,新北市私立悅嘉幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區忠翠里20鄰雙十路二段149號2樓,(02)82586747
011XA8,新北市私立全能愛彌兒板橋幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區玉光里21鄰中山路二段89巷6弄9號1樓及2樓、永豐街43號3樓,(02)29541585
011XA8-01,新北市私立全能愛彌兒板橋幼兒園永豐分班,私立,[01]新北市,板橋區,[220]新北市板橋區玉光里5鄰永豐街43號1樓及2樓、43之1號1樓、41號1樓,(02)29572442
011XA9,新北市私立育太幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區廣德里1鄰重慶路223巷7號1樓、2樓及3樓,(02)89538511
011XAB,新北市私立愷僑幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區廣德里1鄰重慶路207號1樓及2樓,(02)29614011
011XAD,新北市私立喬一幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區雙玉里1鄰三民路一段120號2樓、122號2樓及126號2樓,(02)89513738
011XAE,新北市私立永錡板橋幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區溪福里34鄰金門街358巷14號1樓、358巷16號1樓及2樓、372巷32號1樓及2樓、372巷34號1樓及2樓,(02)26758622
011XAF,新北市私立生活村幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區民族里16鄰漢生東路350號地下1層、2樓及3樓,(02)29646599
011XAG,陽光森林文教股份有限公司臺北縣分公司附設新北市私立陽光小子幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區福壽里11鄰三民路二段215號1、2樓,(02)29555576
011XAI,新北市私立亞特幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區國光里6鄰國光路53號1樓,(02)29687719
011XAJ,新北市私立欣勵德幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區溪福里5鄰篤行路二段161巷18號1樓,(02)26878741
011XAK,新北市私立鹿兒堡幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區廣德里2鄰重慶路269巷18號1樓,(02)29648439
011XAL,新北市私立艾法薇爾幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區忠翠里21鄰雙十路二段85號1樓及87號1樓、87號2樓,(02)82511545
011XAM,新北市私立福音幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區福丘里4鄰民族路8號2樓,(02)29518767
011XAN,新北市私立康園幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區嵐翠里10鄰文聖街89巷17號2樓、19號3樓,(02)82586586
011XAO,新北市私立卡爾斯登幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區忠翠里22鄰莊敬路42號1樓、2樓及3樓,(02)82532319
011XAR,新北市私立優貝兒幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區福壽里1鄰三民路二段正隆巷61號、63號及65號1樓,(02)66377989
011XAT,新北市私立菩提幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區堂春里17鄰金門街251號1樓及2樓,(02)26842525
011XAW,新北市私立巧可麗巧宇幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區嵐翠里10鄰文聖街73號2樓,(02)22545050
011XAX,新北市私立發現小熊森林幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區忠翠里25鄰文化路二段182巷1弄12號3樓之1,(02)22548040
011XAY,新北市私立夏恩雙響幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區忠翠里27鄰文化路二段182巷3弄50號1樓,(02)82512376
011XB0,新北市私立聖路易幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區華東里6鄰南雅南路二段156號1樓、144巷5號1樓、144巷7號1樓、144巷3號2樓之3、144巷3號2樓之4,(02)89666917
011XB1,新北市私立嘉盛幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區後埔里11鄰實踐路76之1號2樓、76之2號3樓,(02)89533958
011XB2,新北市私立晨暘幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區介壽里13鄰文化路一段270巷3弄3、5、7、9號1、2樓,(02)22587399
011XB4,新北市私立葳肯幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區社後里14鄰中正路213號2樓,(02)22728080
011XB5,新北市私立喬幼光明幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區福星里8鄰光明街68號1樓、68之1號2樓,(02)29637600
