項次,商店全名,連絡電話,商店地址
47,全國電子股份有公司台中市第二十三分公司,04-23591688#206,407臺中市西屯區西屯路三段150-43號1樓
48,全國電子股份有限公司台中市第二十四分公司,04-23591688#206,406臺中市北屯區平和里文心路四段581號
49,全國電子股份有限公司台中市第二十五分公司,04-23591688#206,408臺中市南屯區惠中里大墩路486號
50,全國電子股份有限公司台中市第二十六分公司,04-23591688#206,408臺中市南屯區同心里南屯路二段328號
51,全國電子股份有限公司台中縣第二十二分公司,04-23591688#206,412臺中市大里區東湖里中興路一段267、269、271號
52,全國電子股份有限公司台中縣第二十三分公司,04-23591688#206,428臺中市大雅區上雅村雅環路二段46號
53,全國電子股份有限公司台中縣第二十四分公司,04-23591688#206,420臺中市豐原區豐榮里三民路192號
54,全國電子股份有公司台中市第二十七分公司,04-23591688#206,403臺中市西區向上路一段297號
55,全國電子股份有公司台中市第二十八分公司,04-23591688,407臺中市西屯區文心路3段286號
56,全國電子股份有公司台中市第二十九分公司,04-23591688,406臺中市北屯區東山路一段236-6號
57,高明車業有限公司,04-23029090,403臺中市西區中美街232號
58,佳欣商行,04-22798943,412臺中市大里區立仁里好來一街53號
59,五八一生活館靜宜分館,04-26330086,433臺中市沙鹿區台灣大道7段200號
60,遠百企業股份有限公司台中復興分公司,04-22658686,402臺中市南區復興路一段359號
61,遠百企業股份有限公司豐原分公司,04-37046999,420臺中市豐原區水源路420號
62,廣駿電器行,04-24925933,412臺中市大里區塗城路414號
63,7-11永進門市,02-27478711#3961,404台中市北區進化北路297號
64,7-11豐東門市,02-27478711#3961,420臺中市豐原區豐東路218號
65,家禾電器有限公司,04-22473532,406臺中市北屯區瀋陽路三段73號1樓
66,安美潔有限公司,04-23844595,408臺中市南屯區文昌街227巷62號1樓
67,7-11草湖門市,02-27478711#3961,412臺中市大里區中興路1段11之6號
68,合順機車行,04-26321056,434臺中市龍井區新興路４２號
69,7-11文心門市,02-27478711#3961,407台中市西屯區文心路3段76號
70,7-11豐正門市,02-27478711#3961,420臺中市豐原區中正路16.18號
71,7-11雙行門市,02-27478711#3961,404台中市北區雙十路二段47號
72,7-11新墩門市,02-27478711#3961,407台中市西屯區大墩路901號
73,7-11中農門市,02-27478711#3961,401台中市東區台中路269號
74,7-11華美門市,02-27478711#3961,407台中市西屯區太原路一段217號
75,7-11第一門市,02-27478711#3961,411臺中市太平區中山路四段112-2號
76,7-11倍沅門市,02-27478711#3961,429臺中市神岡區中山路517號
77,7-11遊園門市,02-27478711#3961,432臺中市大肚區遊園路二段267號
78,7-11中棲門市,02-27478711#3961,433臺中市沙鹿區中棲路173號
79,7-11靜宜門市,02-27478711#3961,433臺中市沙鹿區鎮南路二段293號
80,7-11文翰門市,02-27478711#3961,428臺中市大雅區學府路328號
81,7-11理想門市,02-27478711#3961,434臺中市龍井區國際街153號
82,7-11梧棲門市,02-27478711#3961,435臺中市梧棲區中棲路1段868號
83,7-11新平門市,02-27478711#3961,411臺中市太平區新平路一段221號
84,7-11新立德門市,02-27478711#3961,401台中市東區復興路4段4號台中路45號
85,7-11媽祖門市,02-27478711#3961,437臺中市大甲區光明路1號
86,7-11遠平門市,02-27478711#3961,406台中市北屯區北平路三段75-4.5號
87,7-11育仁門市,02-27478711#3961,404台中市北區進化路583號
88,7-11興學門市,02-27478711#3961,402台中市南區學府路64號
89,7-11豐光門市,02-27478711#3961,420臺中市豐原區中山路581.583號
90,7-11中清門市,02-27478711#3961,406台中市北屯區中清路66-1號
91,7-11向心門市,02-27478711#3961,408台中市南屯區大墩6街284號
92,7-11天星門市,02-27478711#3961,406台中市北屯區東山路2段78-1號
93,7-11大甲門市,02-27478711#3961,437臺中市大甲區順天路2號
94,7-11環雅門市,02-27478711#3961,428臺中市大雅區民生路一段237號
95,7-11順天門市,02-27478711#3961,437臺中市大甲區順天路154號
96,7-11順大門市,02-27478711#3961,437臺中市大甲區中山路一段1085號
97,7-11崇太門市,02-27478711#3961,404台中市北區崇德路一段517號
98,7-11昌大門市,02-27478711#3961,406台中市北屯區大連路二段283號
99,7-11向上門市,02-27478711#3961,408台中市南屯區黎明路二段193號
100,7-11興大門市,02-27478711#3961,402台中市南區國光路301號
101,7-11吉峰門市,02-27478711#3961,413臺中市霧峰區中正路1070號
102,7-11王田門市,02-27478711#3961,432臺中市大肚區沙田路一段386號
103,7-11大全門市,02-27478711#3961,403台中市西區公館路136.138號
104,7-11新仁門市,02-27478711#3961,434臺中市龍井區新興路49巷2號
105,7-11豐信門市,02-27478711#3961,420臺中市豐原區復興路75號信義街77號
106,7-11大進門市,02-27478711#3961,408台中市南屯區五權西路二段185號
107,7-11豐鑫門市,02-27478711#3961,420臺中市豐原區向陽路276號
108,7-11溪洲門市,02-27478711#3961,411臺中市太平區新平路二段164號
109,7-11豐采門市,02-27478711#3961,408台中市南屯區黎明路二段506.506-1號
110,7-11瑞興門市,02-27478711#3961,420臺中市豐原區中正路497號
111,7-11復慶門市,02-27478711#3961,402台中市南區樹義里大慶街二段5-2號
112,7-11日出門市,02-27478711#3961,437臺中市大甲區孟春里通天路168號
113,7-11坑口門市,02-27478711#3961,413臺中市霧峰區中正路563號
114,7-11社口門市,02-27478711#3961,429臺中市神岡區社口村8鄰中山路736號
115,7-11海強門市,02-27478711#3961,432臺中市大肚區山陽村10鄰沙田路3段882號
116,7-11一勝門市,02-27478711#3961,432臺中市大肚區沙田路一段426-7號
117,7-11巨龍門市,02-27478711#3961,434臺中市龍井區中央路3段51號
118,7-11鼎好門市,02-27478711#3961,414臺中市烏日區中山路2段289號
119,7-11昌盛門市,02-27478711#3961,406台中市北屯區昌平路2段45號之8.45號之9
120,7-11精美門市,02-27478711#3961,411臺中市太平區中平村精美路1號
121,7-11豐華門市,02-27478711#3961,404台中市北區進化北路148號
122,7-11龍井門市,02-27478711#3961,434臺中市龍井區遊園南路210號
123,7-11豐樂門市,02-27478711#3961,406台中市北屯區崇德路三段608號
124,7-11通豪門市,02-27478711#3961,404台中市北區漢口路三段172.174號
125,7-11新北平門市,02-27478711#3961,404台中市北區北平路二段96號
126,7-11青海門市,02-27478711#3961,407台中市西屯區青海路1段1號
127,7-11新五廊門市,02-27478711#3961,403台中市西區民生路155號一樓
128,7-11逢福門市,02-27478711#3961,407台中市西屯區黎明路三段348號
129,7-11熱陽門市,02-27478711#3961,406台中市北屯區熱河路二段183號
130,7-11俊國門市,02-27478711#3961,407台中市西屯區永福路42號
131,7-11后綜門市,02-27478711#3961,421臺中市后里區義里村31鄰甲后路313.315號1樓
132,7-11向勝門市,02-27478711#3961,403台中市西區東興路三段57號
133,7-11水景門市,02-27478711#3961,406台中市北屯區東山路1段212號
134,7-11松竹門市,02-27478711#3961,406台中市北屯區昌平路二段11-1號
135,7-11寶慶門市,02-27478711#3961,407台中市西屯區寶慶街50巷1.3.5號
136,7-11向陽門市,02-27478711#3961,420臺中市豐原區向陽路112號
137,7-11東關門市,02-27478711#3961,423臺中市東勢區東關路640之23號
138,7-11瑞聯門市,02-27478711#3961,407台中市西屯區福科路940.942號
139,7-11雅潭門市,02-27478711#3961,428臺中市大雅區學府路209號
140,7-11隆恩門市,02-27478711#3961,407台中市西屯區大隆路171號1樓
141,7-11權美門市,02-27478711#3961,403台中市西區美村路1段736號
142,7-11樂業門市,02-27478711#3961,401台中市東區樂業路259號.
143,7-11隆心門市,02-27478711#3961,407台中市西屯區文心路2段562號.
144,7-11益民門市,02-27478711#3961,412臺中市大里區東興里10鄰大明路238號
145,7-11東海門市,02-27478711#3961,434臺中市龍井區東園巷43號
146,7-11隆安門市,02-27478711#3961,407台中市西屯區大隆路56號
147,7-11峰資門市,02-27478711#3961,413臺中市霧峰區樹仁路26號
148,7-11合作門市,02-27478711#3961,404台中市北區自強一街1號
149,7-11月眉門市,02-27478711#3961,421臺中市后里區民生路226號
150,7-11益風門市,02-27478711#3961,403台中市西區公益路345之1.347之1號
151,7-11樂群門市,02-27478711#3961,403台中市西區林森路80號.樂群街81號
152,7-11新北屯門市,02-27478711#3961,406台中市北屯區太原路三段369.371.373號
153,7-11清中門市,02-27478711#3961,436臺中市清水區北寧里董公街56號.
154,7-11大峰門市,02-27478711#3961,412臺中市大里區大峰路167號.
155,7-11東寶門市,02-27478711#3961,427臺中市潭子區東寶村民族路一段42號.
156,7-11甜心門市,02-27478711#3961,420臺中市豐原區圓環東路168號.
157,7-11宜昌門市,02-27478711#3961,411臺中市太平區宜昌路400號.
158,7-11港區門市,02-27478711#3961,435臺中市梧棲區民生街61.63號.
159,7-11水豐門市,02-27478711#3961,420臺中市豐原區鐮村路462號.
160,7-11瑞登門市,02-27478711#3961,406台中市北屯區松安里松竹路193號.
161,7-11潭勝門市,02-27478711#3961,427臺中市潭子區勝利路131號.
162,7-11慶大門市,02-27478711#3961,402台中市南區建國北路一段110號.
163,7-11惠宇門市,02-27478711#3961,403台中市西區精誠路420.422號.
164,7-11新豐民門市,02-27478711#3961,420臺中市豐原區三民路93號1樓.
165,7-11樂東門市,02-27478711#3961,401台中市東區樂業路443號.
166,7-11港埠門市,02-27478711#3961,435臺中市梧棲區港埠路一段947號.
167,7-11豐洲門市,02-27478711#3961,429臺中市神岡區五權路63號.
168,7-11新豐田門市,02-27478711#3961,420臺中市豐原區豐南街145號.
169,7-11光輝門市,02-27478711#3961,402台中市南區美村路二段79.81號1F
170,7-11安龍門市,02-27478711#3961,403台中市西區五權路2-12.13號
171,7-11潭陽門市,02-27478711#3961,427臺中市潭子區福仁村新興路一段354號
172,7-11東里門市,02-27478711#3961,412臺中市大里區大里路295號
173,7-11大連門市,02-27478711#3961,406台中市北屯區大連路1段54-1.56號
174,7-11朝馬門市,02-27478711#3961,407台中市西屯區黎明路2段1010號
175,7-11學士門市,02-27478711#3961,404台中市北區學士路163.165號.
176,7-11海德堡門市,02-27478711#3961,408台中市南屯區向心南路928.930號.
177,7-11聯華門市,02-27478711#3961,400台中市中區重慶里公園路19--2號
178,7-11美心門市,02-27478711#3961,407台中市西屯區文心路三段560號
179,7-11豐后門市,02-27478711#3961,420臺中市豐原區三豐路690.692號
180,7-11熊貓門市,02-27478711#3961,408台中市南屯區向上南路1段325號1-2樓
181,7-11鹿鼎門市,02-27478711#3961,433臺中市沙鹿區中棲路288號1樓
182,7-11忠太門市,02-27478711#3961,404台中市北區忠明8街1號
183,7-11瑞彬門市,02-27478711#3961,420臺中市豐原區西安街68號.
184,7-11葫蘆墩門市,02-27478711#3961,420臺中市豐原區水源路127-1號.
185,7-11潭欣門市,02-27478711#3961,427臺中市潭子區光陽路142號.
186,7-11茂廣門市,02-27478711#3961,402台中市南區美村路2段182號.
187,7-11太隆門市,02-27478711#3961,411臺中市太平區德隆里工業路148.150號
188,7-11豐慶門市,02-27478711#3961,407台中市西屯區甘肅路一段186號
189,7-11新霧峰門市,02-27478711#3961,413臺中市霧峰區中正路916號.
190,7-11立新門市,02-27478711#3961,412臺中市大里區立仁路142號
191,7-11東義門市,02-27478711#3961,404台中市北區北平路2段161.163號
192,7-11速華門市,02-27478711#3961,423臺中市東勢區第一橫街153.155號
193,7-11清泉崗門市,02-27478711#3961,433臺中市沙鹿區公明里中清路13-50號
194,7-11丹聯門市,02-27478711#3961,433臺中市沙鹿區中山路田尾巷3.4.5.號
195,7-11雅昌門市,02-27478711#3961,404台中市北區大雅471號
196,7-11龍祥門市,02-27478711#3961,434臺中市龍井區沙田路4段636號
197,7-11櫻花門市,02-27478711#3961,407台中市西屯區櫻花路111號
198,7-11豐碩門市,02-27478711#3961,428臺中市大雅區中清路三段14.14之1號
199,7-11興城門市,02-27478711#3961,412臺中市大里區塗城路785號
200,7-11墩陽門市,02-27478711#3961,408台中市南屯區大墩10街254號之1樓
201,7-11茂陽門市,02-27478711#3961,420臺中市豐原區南陽路299之8.299之9號
202,7-11大運通門市,02-27478711#3961,427臺中市潭子區復興路一段16.18號
203,7-11福東門市,02-27478711#3961,406台中市北屯區東山路一段323號
204,7-11宜寧門市,02-27478711#3961,402台中市南區復興路一段497.499號
205,7-11后庄門市,02-27478711#3961,406台中市北屯區后庄里后庄路141號1樓
206,7-11中城門市,02-27478711#3961,412臺中市大里區中興路一段328號
207,7-11大甲站門市,02-27478711#3961,437臺中市大甲區中山路一段828號
208,7-11榮晉門市,02-27478711#3961,427臺中市潭子區頭張路二段2號
209,7-11新象門市,02-27478711#3961,406台中市北屯區中清路106-20號
210,7-11康泰門市,02-27478711#3961,420臺中市豐原區安康路73號之1樓
211,7-11寶利旺門市,02-27478711#3961,421臺中市后里區三豐路227-3號1F
212,7-11嘟嘟門市,02-27478711#3961,404台中市北區興進路60號
213,7-11桂冠門市,02-27478711#3961,407台中市西屯區何厝街43號
214,7-11新仁華門市,02-27478711#3961,412臺中市大里區仁化路460號
215,7-11精中門市,02-27478711#3961,411臺中市太平區長億六街51號
216,7-11台紙門市,02-27478711#3961,432臺中市大肚區沙田路二段645號
217,7-11京泰門市,02-27478711#3961,420臺中市豐原區成功路195號
218,7-11綠都門市,02-27478711#3961,401台中市東區自由路三段169-1號
219,7-11新勤益門市,02-27478711#3961,411臺中市太平區中山路1段217號
220,7-11鼎泰門市,02-27478711#3961,414臺中市烏日區仁德村中山路一段413號1樓
221,7-11新清水門市,02-27478711#3961,436臺中市清水區五權路16號
222,7-11英荃門市,02-27478711#3961,436臺中市清水區中山路81號
223,聲暐電器有限公司,04-26357972,433臺中市沙鹿區大同街31號
224,7-11大甲東門市,02-27478711#3961,438臺中市外埔區大東村甲后路689.691號.
225,7-11順益門市,02-27478711#3961,404台中市北區五權路387號.五常街13.15號
226,7-11太平門市,02-27478711#3961,411臺中市太平區中興路171號
227,7-11吉仕多門市,02-27478711#3961,411臺中市太平區樹德路255號.
228,7-11逢源門市,02-27478711#3961,407台中市西屯區逢甲路162號之5
229,7-11豐中門市,02-27478711#3961,420臺中市豐原區中正路202.204號
230,7-11錦花門市,02-27478711#3961,400台中市中區光復路127號
231,7-11富麗門市,02-27478711#3961,401台中市東區十甲里十甲路397號
232,7-11南屯門市,02-27478711#3961,408台中市南屯區南屯路2段501、503號
233,7-11雅津門市,02-27478711#3961,404台中市北區天津路2段7號
234,永倉企業有限公司,04-25238950,420臺中市豐原區文昌東街25號
235,7-11熱天門市,02-27478711#3961,406台中市北屯區平安里9鄰天津路4段47.49號
236,7-11昌平門市,02-27478711#3961,406台中市北屯區昌平路1段70號
237,7-11福茂門市,02-27478711#3961,407台中市西屯區西屯路三段148-30號
238,7-11后東門市,02-27478711#3961,421臺中市后里區甲后路97號
239,7-11雙喜門市,02-27478711#3961,428臺中市大雅區中山北路167號
240,7-11港中門市,02-27478711#3961,435臺中市梧棲區中央路一段825號1樓
241,7-11漢成門市,02-27478711#3961,407台中市西屯區漢成四街2號
242,7-11龍津門市,02-27478711#3961,434臺中市龍井區三德村中央路二段4號
243,7-11紅億門市,02-27478711#3961,411臺中市太平區光興路572.576號
244,7-11工一門市,02-27478711#3961,407台中市西屯區工業區一路98-32號1樓
245,7-11敦煌門市,02-27478711#3961,406台中市北屯區敦化路456號
246,7-11法奇門市,02-27478711#3961,402台中市南區五權南路189號
247,7-11甜蜜門市,02-27478711#3961,429臺中市神岡區豐洲路230號1樓
248,7-11新童門市,02-27478711#3961,435臺中市梧棲區大庄里中棲路699號
249,7-11東園門市,02-27478711#3961,414臺中市烏日區溪南路283之1號
250,7-11雅樂門市,02-27478711#3961,406台中市北屯區松竹路88號
251,7-11翁子門市,02-27478711#3961,420臺中市豐原區豐勢路1段669號
252,7-11尚仁門市,02-27478711#3961,407台中市西屯區上仁街102.104.106號
253,7-11華生門市,02-27478711#3961,403台中市西區民生路517號
254,7-11潭秀門市,02-27478711#3961,427臺中市潭子區勝利路428號及雅潭路1段167號
255,7-11同榮門市,02-27478711#3961,406台中市北屯區同榮路262號
256,7-11興生門市,02-27478711#3961,412臺中市大里區中興路2段336.338號
257,7-11寶昇門市,02-27478711#3961,406台中市北屯區北屯路224之1號
258,7-11墩隆門市,02-27478711#3961,407台中市西屯區大墩路966號
259,7-11京展門市,02-27478711#3961,420臺中市豐原區中正路858號1樓
260,7-11上楓門市,02-27478711#3961,428臺中市大雅區民生路3段523號
261,7-11上誠門市,02-27478711#3961,403台中市西區向上路1段402號
262,7-11生活門市,02-27478711#3961,402台中市南區西川里忠明南路730巷23號
263,7-11日南門市,02-27478711#3961,437臺中市大甲區日南里青年路130號
264,7-11喬城門市,02-27478711#3961,412臺中市大里區大智路524號
265,7-11新大里門市,02-27478711#3961,412臺中市大里區新興路47號
266,7-11美村門市,02-27478711#3961,403台中市西區美村路1段560號
267,7-11台火門市,02-27478711#3961,402台中市南區美村南路137號及工學路16號
268,7-11大道門市,02-27478711#3961,412臺中市大里區仁化里至善路188號.
269,7-11南新門市,02-27478711#3961,402台中市南區南平路123號
270,7-11權興門市,02-27478711#3961,408台中市南屯區五權西路二段62號
271,7-11長億門市,02-27478711#3961,402台中市南區工學路128號.
272,7-11豐陽門市,02-27478711#3961,420臺中市豐原區南陽路372號
273,7-11興府門市,02-27478711#3961,428臺中市大雅區學府路51號
274,7-11瑞城門市,02-27478711#3961,412臺中市大里區塗城路597.599號
275,7-11亞太門市,02-27478711#3961,404台中市北區大雅路370號
276,7-11吉宏門市,02-27478711#3961,414臺中市烏日區中華路565.567號.
277,7-11詠德門市,02-27478711#3961,435臺中市梧棲區大智路二段385號
278,7-11大維門市,02-27478711#3961,435臺中市梧棲區四維路73號
279,7-11萬文門市,02-27478711#3961,408台中市南屯區黎明路一段1033號
280,7-11全利門市,02-27478711#3961,411臺中市太平區樹孝路338號
281,7-11元宏門市,02-27478711#3961,414臺中市烏日區溪南路一段722號
282,7-11福廣門市,02-27478711#3961,407台中市西屯區廣福路341.343號
283,7-11弘光門市,02-27478711#3961,433臺中市沙鹿區晉江里中棲路34號
284,7-11京達門市,02-27478711#3961,420臺中市豐原區中正路805號
285,7-11粵西門市,02-27478711#3961,423臺中市東勢區東坑路285號
286,7-11大將作門市,02-27478711#3961,403台中市西區英才路410號
287,7-11百達門市,02-27478711#3961,428臺中市大雅區中清路1段83號
288,7-11台中港門市,02-27478711#3961,435臺中市梧棲區中棲路二段181號
289,7-11逢運門市,02-27478711#3961,406台中市北屯區雷中街95號
290,7-11三軍門市,02-27478711#3961,428臺中市大雅區仁愛路101、103號
291,7-11新社門市,02-27478711#3961,426臺中市新社區興社街4段27之1號
292,7-11雅亭門市,02-27478711#3961,404台中市北區大雅路189-5號
293,7-11頂橋門市,02-27478711#3961,402台中市南區興大路338、340號
294,7-11福寶門市,02-27478711#3961,406台中市北屯區陳平里陳平路59號1樓
295,7-11崇尚門市,02-27478711#3961,406台中市北屯區崇德路二段344號
296,7-11南北通門市,02-27478711#3961,406台中市北屯區同榮里環中路一段1200號
297,7-11庚樺門市,02-27478711#3961,404台中市北區崇德路一段143之2號
298,7-11青河門市,02-27478711#3961,406台中市北屯區青島路3段141號
299,7-11東泰門市,02-27478711#3961,423臺中市東勢區東蘭路41-6號1樓
300,7-11雙鹿門市,02-27478711#3961,411臺中市太平區新平路三段1號1樓
301,7-11新育才門市,02-27478711#3961,404台中市北區三民路三段116號
302,7-11新十甲門市,02-27478711#3961,401台中市東區十甲路132-1、134號1樓
303,7-11甘肅門市,02-27478711#3961,407台中市西屯區甘肅路二段22號
304,7-11矽品門市,02-27478711#3961,427臺中市潭子區大豐路3段188、190號
305,7-11模範門市,02-27478711#3961,403台中市西區模範街34巷1號
306,7-11福田門市,02-27478711#3961,402台中市南區文心南路885號
307,7-11玉豐門市,02-27478711#3961,412臺中市大里區東榮路483號
308,7-11德毅門市,02-27478711#3961,404台中市北區尊賢街9號
309,7-11蔣公門市,02-27478711#3961,437臺中市大甲區庄美里蔣公路222號
310,7-11平興門市,02-27478711#3961,406台中市北屯區遼寧路一段120號
311,7-11福明門市,02-27478711#3961,401台中市東區進化路170號1樓
312,7-11上安門市,02-27478711#3961,407台中市西屯區至善路61路
313,7-11大時代門市,02-27478711#3961,402台中市南區工學路61號.
314,7-11福岡門市,02-27478711#3961,407台中市西屯區福科路338號
315,7-11富仁門市,02-27478711#3961,401台中市東區進德路70號.
316,7-11向美門市,02-27478711#3961,403台中市西區向上路1段189號.
317,7-11新東峰門市,02-27478711#3961,404台中市北區東光路340號
318,7-11淡溝門市,02-27478711#3961,404台中市北區民權路406號
319,7-11大秀門市,02-27478711#3961,436臺中市清水區秀水里五權路269號
320,7-11向權門市,02-27478711#3961,408台中市南屯區五權西路2段412號1樓
321,7-11西德門市,02-27478711#3961,406台中市北屯區仁和里崇德路3段115號
322,7-11修平門市,02-27478711#3961,412臺中市大里區工業二路100號
323,7-11南美門市,02-27478711#3961,402台中市南區南平路182號
324,7-11龍田門市,02-27478711#3961,434臺中市龍井區田中村臨港東路一段75號
325,7-11大坑門市,02-27478711#3961,406台中市北屯區橫坑巷28-1號
326,7-11鄉林門市,02-27478711#3961,408台中市南屯區大業路177號
327,7-11義和門市,02-27478711#3961,437臺中市大甲區中山路一段492號
328,7-11新大億門市,02-27478711#3961,411臺中市太平區大興路151、151-1號
329,7-11順泰門市,02-27478711#3961,404台中市北區漢口路四段265號
330,7-11學和門市,02-27478711#3961,402台中市南區學府路123、125號1樓
331,7-11聯順門市,02-27478711#3961,407台中市西屯區福聯里福順路898、900號
332,7-11昌興門市,02-27478711#3961,436臺中市清水區新興路238號文昌街12-1號
333,7-11大熊門市,02-27478711#3961,402台中市南區樹義里高工路96號
334,7-11新豐興門市,02-27478711#3961,420臺中市豐原區東勢里中興路57號
335,7-11瀚尹門市,02-27478711#3961,406台中市北屯區文心路4段577、579號
336,7-11一路發門市,02-27478711#3961,436臺中市清水區鰲峰路580號之15
337,7-11慶江門市,02-27478711#3961,407台中市西屯區重慶路375號
338,7-11民府門市,02-27478711#3961,403台中市西區府後街66、68號
339,7-11工權門市,02-27478711#3961,408台中市南屯區工業區十八路31-1號
340,7-11頂尖門市,02-27478711#3961,433臺中市沙鹿區北勢東路617、619號
341,7-11萬仙門市,02-27478711#3961,420臺中市石岡區萬仙街68號
342,7-11丁台門市,02-27478711#3961,413臺中市霧峰區四德路477-3號
343,7-11無尾熊門市,02-27478711#3961,402台中市南區德富路73號
344,7-11昌和門市,02-27478711#3961,406台中市北屯區東山路1段146之39號
345,7-11功興門市,02-27478711#3961,411臺中市太平區成功東路267、269號
346,7-11光園門市,02-27478711#3961,401台中市東區東光園路142號
347,7-11豐勇門市,02-27478711#3961,420臺中市豐原區豐中路131號
348,7-11昌陽門市,02-27478711#3961,406台中市北屯區昌平路一段264號
349,7-11新石岡門市,02-27478711#3961,422臺中市石岡區明德路118號
350,7-11關連門市,02-27478711#3961,435臺中市梧棲區臨港路2段72號
351,7-11光興門市,02-27478711#3961,411臺中市太平區興隆里12鄰光興路1632號
352,7-11精業門市,02-27478711#3961,403台中市西區精誠路41號之6之7
353,7-11栗林門市,02-27478711#3961,427臺中市潭子區祥和路169.171號
354,7-11豐原站門市,02-27478711#3961,420臺中市豐原區中正路1號
355,7-11大東家門市,02-27478711#3961,402台中市南區新榮里復興路3段140號
356,7-11盛民興門市,02-27478711#3961,411臺中市太平區中山路二段366.366-1.368號
357,7-11斗抵門市,02-27478711#3961,433臺中市沙鹿區沙田路43-12號
358,7-11漢溪門市,02-27478711#3961,401台中市東區十甲東路566號1樓
359,7-11港強門市,02-27478711#3961,407台中市西屯區福安路57號
360,7-11聯信門市,02-27478711#3961,402台中市南區建成路1107號1樓
361,7-11航發門市,02-27478711#3961,407台中市西屯區河南路二段238號
