醫院名稱,開業證號,區域,醫院地址,醫院電話,業務類別,門診時間
益生家畜醫院,中市獸醫開字第105205號,北區,學士路254號,04-22324351,"合法動物醫院,特約狂犬病預防注射",
中台動物醫院,中市獸醫開字第105003號,北區,中清路一段693號,04-22922955,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",19:00~24:00急診服務，先電話預約。
東南動物醫院,中市獸醫開字第105026號,北區,中清路一段712號,04-22960753,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
誠品動物醫院,中市獸醫開字第105189號,北區,學士路240號,04-22356205,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
信安動物醫院,中市獸醫開字第105033號,北區,健行路638號,04-22055045,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
宏恩動物醫院,中市獸醫開字第105017號,北區,太原路一段426號,04-22030359,"合法動物醫院,特約狂犬病預防注射",
上群動物醫院,中市獸醫開字第105137號,北區,健行路76號,04-22307765,"合法動物醫院,特約狂犬病預防注射",
宏光動物醫院,中市獸醫開字第105067號,北區,健行路588號,04-22033280,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
環亞動物醫院,中市獸醫開字第105023號,北區,五權路580號,04-22237470,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
犬揚動物醫院,中市獸醫開字第105182號,北區,英才路298號,04-22059822,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
米谷動物醫院,中市獸醫開字第105074號,北區,青島路三段212號,04-22380791,"合法動物醫院,特約狂犬病預防注射",
五權動物醫院,中市獸醫開字第105030號,北區,五權路390號,04-22013909,"合法動物醫院,特約狂犬病預防注射",
潮慶動物醫院,中市獸醫開字第105186號,北區,漢口路3段171號,04-22917303,"合法動物醫院,特約狂犬病預防注射",
春天動物醫院,中市獸醫開字第105104號,北區,進化北路294號,04-22350838,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
全國貓醫院,中市獸醫開字第105115號,北區,進化北路162號,04-22377025,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
田中政男動物醫院,中市獸醫開字第105194號,北區,進化北路378之24號,04-22351880,"合法動物醫院,特約狂犬病預防注射",
台碩動物醫院,中市獸醫開字第105136號,北區,中清路一段470號,04-22082515,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
庚欣動物醫院,中市獸醫開字第105217號,北區,雙十路2段77號,04-22319663,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
康熙動物醫院,中市獸醫開字第105124號,北區,天祥街2號,04-22360188,"合法動物醫院,特約狂犬病預防注射",
全國動物醫院大雅分院,中市獸醫開字第105148號,北區,中清路一段635號1樓,04-22954667,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
侏儸紀野生動物專科醫院,中市獸醫開字第105150號,西區,英才路625號,04-23757808,合法動物醫院,
沐恩動物醫院,中市獸醫開字第105015號,北區,健行路865號,04-22077271,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",21:00~02:00，需先電話聯絡。
全邑動物醫院,中市獸醫開字第105058號,北區,德化街227號,04-22381858,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
六順動物醫院,中市獸醫開字第105073號,西屯區,烈美街173號,04-27015049,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
大敦寵物醫院,中市獸醫開字第105218號,西區,精誠一街2號,04-23200208,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
台大動物醫院,中市獸醫開字第105213號,西屯區,漢口路2段3號,04-23132308,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
強生動物醫院,中市獸醫開字第105012號,西屯區,漢口路一段137號,04-23132309,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
永康動物醫院,中市獸醫開字第105096號,西屯區,永福路167號,04-24615748,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
梅島動物醫院,中市獸醫開字第105166號,西屯區,西屯路3段148-37號,04-24626616,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
冠生動物醫院,中市獸醫開字第105087號,西屯區,河南路2段108號,04-22928102,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
諾德動物醫院,中市獸醫開字第105098號,西屯區,青海路2段207-2號,04-27065989,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
天興動物醫院,中市獸醫開字第105195號,西屯區,青海路二段225號,04-24522579,"合法動物醫院,特約狂犬病預防注射",
慈愛動物醫院中港分院,中市獸醫開字第105153號,大里區,國光路二段539號,04-24066688,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",24小時急診
英國皇家動物醫院,中市獸醫開字第105111號,西屯區,河南路二段429號地下一樓之2,04-27073887,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
全國動物醫院中科分院,中市獸醫開字第105062號,西屯區,福科路537號,04-24617968,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
台灣動物醫院,中市獸醫開字第105018號,西屯區,青海路二段69號,04-23177069,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
凡賽爾賽鴿動物醫院,中市獸醫開字第105220號,西屯區,臺灣大道3段292號,04-23121880,合法動物醫院,
加諾動物醫院,中市獸醫開字第105210號,西區,忠明路113號,04-23165366,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
鄭獸醫院,中市獸醫開字第105129號,西屯區,中工三路66號,04-23589842,"合法動物醫院,特約狂犬病預防注射",
福樂動物醫院,中市獸醫開字第105172號,西屯區,大隆路149號,04-23207030,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
全國動物醫院七期分院,中市獸醫開字第105147號,南屯區,五權西路2段203號,04-24712853,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
田心動物醫院,中市獸醫開字第105128號,南屯區,大墩2街82號,04-24737161,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
信揚動物醫院,中市獸醫開字第105180號,南屯區,南屯路2段271號,04-24730000 04-24751748,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
犬保動物醫院,中市獸醫開字第105079號,南屯區,文山3街51巷12號,04-23892942,"合法動物醫院,特約狂犬病預防注射,委辦急難救助",
永吉動物醫院,中市獸醫開字第105164號,南屯區,黎明路1段1191號,04-23892575 0912373637,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助",
吉米哈利動物醫院,中市獸醫開字第105130號,南屯區,大聖街250號,04-23206910,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
健康動物醫院,中市獸醫開字第105188號,南屯區,河南路四段222號,04-22550001,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
中美獸醫院,中市獸醫開字第105144號,南屯區,大墩六街207號,04-24721566,"合法動物醫院,特約狂犬病預防注射",
崇仁動物醫院,中市獸醫開字第105169號,南屯區,五權西路2段395號,04-24738228,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
長生動物醫院,中市獸醫開字第105097號,南屯區,南屯路2段52號,04-24722396,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
ㄚ貓ㄚ狗動物醫院,中市獸醫開字第105031號,南屯區,大墩十一街783號,04-23805811,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
劍橋動物醫院,中市獸醫開字第105025號,南屯區,大墩十三街6號及8號,04-23275346,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
慈愛動物醫院五權分院,中市獸醫開字第105059號,南屯區,五權西路二段80號,04-24716662,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
金生動物醫院,中市獸醫開字第105006號,南屯區,大墩路671號1樓,04-23282369,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
心美動物醫院,中市獸醫開字第105228號,南屯區,五權西路二段539號,04-23892263,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
光正獸醫院,中市獸醫開字第105112號,北屯區,東山路2段65-14號,04-22391910,"合法動物醫院,特約狂犬病預防注射",
東山動物醫院,中市獸醫開字第105068號,北屯區,北屯路281之4號,04-22316574,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
可安動物醫院,中市獸醫開字第105075號,北屯區,河北路二段58號,04-22366476,合法動物醫院,
富山動物醫院,中市獸醫開字第105082號,北屯區,中清路二段11號,04-22978178,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
新永吉動物醫院,中市獸醫開字第105008號,北屯區,中清路二段840號,04-24258019,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
聖心犬貓醫院,中市獸醫開字第105134號,北屯區,崇德路1段582號,04-22382896,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
崇德動物醫院,中市獸醫開字第105207號,北屯區,崇德二路二段159號,04-22423411,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
永信動物醫院,中市獸醫開字第105107號,北屯區,東山路1段216-22號,04-24371487,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦動物中途收容",
吉田動物醫院,中市獸醫開字第105066號,北屯區,北屯路206號,04-22344388,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
惠生動物醫院,中市獸醫開字第105132號,北屯區,山西路2段219號,04-22927759,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
德愛動物醫院,中市獸醫開字第105090號,北屯區,昌平路1段95之9號,04-35035057,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
亞東動物醫院,中市獸醫開字第105089號,北屯區,昌平路1段27號,04-22336101,"合法動物醫院,特約狂犬病預防注射",
濟生動物醫院,中市獸醫開字第105057號,北屯區,北平路3段75-12號,04-22385886 04-22384995,"合法動物醫院,特約狂犬病預防注射",24小時急診服務，先電話預約。
鴻安動物醫院,中市獸醫開字第105181號,北屯區,東山路1段152-2號,04-24367848,"合法動物醫院,特約狂犬病預防注射",
文心全國動物醫院,中市獸醫開字第105116號,北屯區,文心路4段325號,04-22478377,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
宏典動物醫院,中市獸醫開字第105224號,北屯區,大連路2段15號,04-22416645,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
可米動物醫院,中市獸醫開字第105088號,北屯區,大連路二段22號,04-22410842,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
全國動物醫院北全分院,中市獸醫開字第105061號,北屯區,北屯路220號,04-22360903,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
威爾斯動物醫院北屯分院,中市獸醫開字第105101號,北屯區,松竹路二段703號,04-22428888,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
祐田動物醫院,中市獸醫開字第105133號,北屯區,崇德二路一段28號,04-22475349,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
永昌動物醫院,中市獸醫開字第105204號,北屯區,北屯路32號,04-22356236,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",夜間急診服務 週一至日21:00~22:00
新生動物醫院,中市獸醫開字第105178號,豐原區,新生北路59號,04-25202509,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
中山犬醫院,中市獸醫開字第105091號,豐原區,成功路85號,04-25250375,"合法動物醫院,特約狂犬病預防注射",
龍立動物醫院,中市獸醫開字第105192號,豐原區,西安街191號,04-25298296,"合法動物醫院,特約狂犬病預防注射",
立安動物醫院,中市獸醫開字第105221號,豐原區,向陽路243號,04-25237789,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
中美獸醫院,中市獸醫開字第105196號,豐原區,源豐路167號,04-25272071,"合法動物醫院,特約狂犬病預防注射",
福懋動物醫院,中市獸醫開字第105175號,豐原區,圓環西路69號,04-25220909,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
品品動物醫院,中市獸醫開字第105183號,豐原區,中山路157號,04-25256889,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
忠心動物醫院,中市獸醫開字第105064號,豐原區,水源路510號,04-25298991,"合法動物醫院,特約狂犬病預防注射",
普羅旺斯動物醫院,中市獸醫開字第105119號,豐原區,圓環南路235號,04-25287681,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
中泰動物醫院,中市獸醫開字第105014號,豐原區,圓環南路117號,04-25244862,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
小熊犬醫院,中市獸醫開字第105110號,豐原區,圓環東路553號,04-25225888,合法動物醫院,
全國動物醫院豐原分院,中市獸醫開字第105114號,豐原區,圓環北路2段251號,04-25249607,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
豐東動物醫院,中市獸醫開字第105165號,豐原區,豐東路88號,04-25204390,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
豐南動物醫院,中市獸醫開字第105113號,豐原區,育才街35號,04-25291991,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
怡全動物醫院,中市獸醫開字第105044號,豐原區,富春街77號,04-25222523,"合法動物醫院,特約狂犬病預防注射",
安傑動物醫院,中市獸醫開字第105032號,豐原區,源豐路119號,04-25256438,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
聖欣動物醫院,中市獸醫開字第105223號,豐原區,同安街183號,04-25285100,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
彩虹動物醫院,中市獸醫開字第105051號,大里區,國光路二段318號,04-24823365,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
全國動物醫院大里分院,中市獸醫開字第105145號,大里區,國光路2段441號,04-24077991,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
大生動物醫院,中市獸醫開字第105200號,大里區,新興路137號,04-24819168,合法動物醫院,
中華愛犬醫院,中市獸醫開字第105080號,大里區,中興路2段657號,04-24828784,"合法動物醫院,特約狂犬病預防注射,委辦急難救助",
欣欣動物醫院,中市獸醫開字第105206號,大里區,立新街226號,04-22709087,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
群力動物醫院,中市獸醫開字第105174號,大里區,永隆一街261號,04-24069160,"合法動物醫院,特約狂犬病預防注射",
聖愛動物醫院大里分院,中市獸醫開字第105039號,大里區,中興路二段471號,04-24834345,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
馬汀動物醫院,中市獸醫開字第105102號,大里區,中興路2段386之4號,04-24864286,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
聖愛動物醫院仁化店,中市獸醫開字第105036號,大里區,仁化路770號,04-24966500,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
瑞和動物醫院,中市獸醫開字第105151號,大里區,中興路1段426號,04-24932524,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
新東南動物醫院,中市獸醫開字第105211號,大里區,中興路1段316之5號,04-24953038,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
啟仁動物醫院,中市獸醫開字第105106號,大里區,中興路1段364號,04-24933385,"合法動物醫院,特約狂犬病預防注射",
中一動物醫院,中市獸醫開字第105191號,大里區,西榮路201號,04-24814507,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
宜家動物醫院,中市獸醫開字第105045號,大里區,國光路二段555-6號,04-24060719,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
慈濟動物醫院,中市獸醫開字第105050號,大里區,大明路312號,04-24811675,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
旭冠動物醫院,中市獸醫開字第105126號,太平區,宜昌路525號,04-22776577,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
人愛動物醫院,中市獸醫開字第105022號,太平區,中山路四段223號,04-23957656,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
中心動物醫院,中市獸醫開字第105123號,太平區,中山路4段180號,04-23919547,"合法動物醫院,特約狂犬病預防注射",
安和動物醫院,中市獸醫開字第105092號,太平區,太平路656號,04-22705342,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
躍犬獸醫院,中市獸醫開字第105187號,太平區,中山路四段31號,04-23952328,合法動物醫院,
小木瓜犬貓診所,中市獸醫開字第105043號,太平區,太平路643號,04-22766688,"合法動物醫院,特約狂犬病預防注射",
非凡動物醫院,中市獸醫開字第105225號,太平區,鵬儀路1-4號,04-22771269,"合法動物醫院,特約狂犬病預防注射",
光佑動物醫院,中市獸醫開字第105081號,太平區,中興東路164號,04-22763058,"合法動物醫院,特約狂犬病預防注射",
聖愛動物醫院太平分院,中市獸醫開字第105038號,太平區,中興路118之2號,04-22753341,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
嘉基動物診所,中市獸醫開字第105170號,太平區,宜昌路217號,04-22772847,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
家安動物醫院,中市獸醫開字第105053號,東勢區,新豐街34號,04-25770889,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
東勢動物醫院,中市獸醫開字第105010號,東勢區,東關路七段356號1樓,04-25889119,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
建安動物醫院,中市獸醫開字第105093號,大甲區,鎮政路58之7號,04-26886999,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
協和動物醫院,中市獸醫開字第105163號,大甲區,中山路一段825-6號,04-26880633,"合法動物醫院,特約狂犬病預防注射",
安澤動物醫院,中市獸醫開字第105016號,大甲區,光明路281巷32號,04-26861992,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
聖愛動物醫院大甲分院,中市獸醫開字第105103號,大甲區,光明路124號,04-26886136,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
中華動物醫院,中市獸醫開字第105052號,大甲區,新政路2之2號,04-26874024,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
漂亮寶貝動物醫院,中市獸醫開字第105049號,清水區,中山路127之3號,04-26238800,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
狗脾氣動物醫院,中市獸醫開字第105159號,清水區,五權東路11號,04-26225317,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
洽昌動物醫院,中市獸醫開字第105040號,沙鹿區,中山路463巷1號,912387638,合法動物醫院,
沙鹿動物醫院,中市獸醫開字第105007號,龍井區,工業路33號,04-26627808,合法動物醫院,
關心動物醫院,中市獸醫開字第105071號,沙鹿區,三民路97號,04-26653624,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
沙鹿名犬動物醫院,中市獸醫開字第105173號,沙鹿區,福幼街25號,04-26354343,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
中山動物醫院,中市獸醫開字第105054號,沙鹿區,臺灣大道7段1000號,04-26622403,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助",
三三動物診所,中市獸醫開字第105042號,梧棲區,民和路一段46號,04-26656115,"合法動物醫院,特約狂犬病預防注射",
佑晟動物醫院,中市獸醫開字第105149號,后里區,福音路42之1號,04-25587587,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
民昇動物醫院,中市獸醫開字第105072號,神岡區,中山路509號,04-25632939,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
揚名動物醫院,中市獸醫開字第105121號,神岡區,神岡路45號,04-25623247,合法動物醫院,
豐源動物醫院,中市獸醫開字第105209號,潭子區,中山路1段172號,04-25358448,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
潭子家畜醫院,中市獸醫開字第105001號,潭子區,中山路二段305號,04-25319197,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
